iteration,train_rmse_log,valid_rmse_log,rmse_log_gap,rmse_log_gap_pct_vs_train
34,0.8078568768793689,0.6944217271181529,-0.11343514976121605,-0.14041490888757321
35,0.791636265439636,0.678845833406305,-0.11279043203333106,-0.14247759603419982
36,0.7766613754392593,0.6646316560180471,-0.1120297194212122,-0.1442452566381985
37,0.7626782956806885,0.6509877811689891,-0.11169051451169931,-0.14644511997291834
38,0.7501108416541863,0.637734996352737,-0.11237584530144928,-0.14981231980813903
39,0.7386903974619632,0.6266431487339345,-0.11204724872802874,-0.15168364055226302
40,0.7266963712756728,0.6156931753402985,-0.11100319593537422,-0.15275044753631373
41,0.7154975792515521,0.6054766687161379,-0.11002091053541418,-0.15376838961565995
42,0.7055012763692172,0.5949664601060586,-0.11053481626315864,-0.15667557234200002
43,0.6966392817692157,0.5860121487121087,-0.11062713305710703,-0.15880117006344158
44,0.6876961695868598,0.5770748028421426,-0.11062136674471712,-0.16085790736797909
45,0.679088314862081,0.5699353059419707,-0.10915300892011026,-0.16073462984306927
46,0.6718189172015562,0.5627865848639773,-0.10903233233757892,-0.16229422772396793
47,0.6647443235184499,0.5560341070420136,-0.1087102164764363,-0.16353688573230676
48,0.656866554673213,0.5493766890388893,-0.10748986563432372,-0.16364033892363306
49,0.6484880621339926,0.5444706128365311,-0.10401744929746148,-0.16039994468852548
50,0.642372545812177,0.5400316913114314,-0.10234085450074559,-0.15931698072705147
51,0.6353403129441052,0.5344158053249211,-0.10092450761918415,-0.15885110005299333
52,0.6301678034273135,0.529380265523431,-0.10078753790388251,-0.15993761876713813
53,0.6235829943305244,0.5262271899745949,-0.0973558043559295,-0.15612325102041982
54,0.6189054337403915,0.5223578078476001,-0.09654762589279142,-0.15599737961468546
55,0.6125609845200184,0.5177988464723078,-0.09476213804771061,-0.15469829199449087
56,0.6079099368950913,0.5140188514550027,-0.09389108544008862,-0.1544490059163018
57,0.6028894855728559,0.511492976683026,-0.09139650888982997,-0.15159745040666364
58,0.5990359688423895,0.5092645275622466,-0.08977144128014292,-0.14985985141029554
59,0.5949315247462506,0.5060983619792764,-0.08883316276697417,-0.1493166172440823
60,0.5905433945376479,0.5025035951666313,-0.08803979937101658,-0.14908269262743218
61,0.5869589850530248,0.5008781252092809,-0.08608085984374392,-0.14665566425559962
62,0.5834319401222552,0.49777309595771024,-0.08565884416454494,-0.14681891455341917
63,0.5797360542715764,0.4956464144061191,-0.08408963986545726,-0.14504814604141492
64,0.5773459957807914,0.49410165353242297,-0.08324434224836841,-0.14418449743604855
65,0.5747905679839974,0.49224142386670566,-0.08254914411729175,-0.14361603811075407
66,0.5726666285972114,0.48982809735710436,-0.08283853124010704,-0.14465402225903412
67,0.5705083317664823,0.4876812001476382,-0.08282713161884409,-0.1451812830890373
68,0.5661408086416257,0.4854034980403834,-0.08073731060124234,-0.1426099467992071
69,0.5633341199030529,0.4844969719917245,-0.07883714791132845,-0.13994740443716766
70,0.5610687561128849,0.48354755243955716,-0.07752120367332771,-0.13816703002747624
71,0.5583857894259876,0.48283560976862555,-0.07555017965736205,-0.13530104291340675
72,0.5564962973012763,0.4821918106155161,-0.07430448668576017,-0.13352197857577688
73,0.5531347468645597,0.4810563999130792,-0.07207834695148047,-0.1303088395007836
74,0.5510181788524673,0.4802882853536438,-0.07072989349882347,-0.12836217789787494
75,0.5487519177170505,0.47974682687987275,-0.06900509083717771,-0.12574915660296312
76,0.5461822883486496,0.4785279276903153,-0.06765436065833424,-0.12386773079530512
77,0.5448861604627697,0.4771678920279887,-0.06771826843478101,-0.12427966307176558
78,0.5423422967531089,0.4768019135310893,-0.06554038322201955,-0.12084689616575411
79,0.5397543608055839,0.4758892777988136,-0.0638650830067703,-0.11832249564681904
