store_nbr,rows_baseline,actual_total_sales_baseline,predicted_total_sales_baseline,rmsle_baseline,mae_baseline,wape_baseline,bias_baseline,total_bias_pct_baseline,total_absolute_error_baseline,error_contribution_pct_baseline,rows_lightgbm,actual_total_sales_lightgbm,predicted_total_sales_lightgbm,rmsle_lightgbm,mae_lightgbm,wape_lightgbm,bias_lightgbm,total_bias_pct_lightgbm,total_absolute_error_lightgbm,error_contribution_pct_lightgbm,city,state,store_type,cluster,rmsle_delta_lightgbm_minus_baseline,wape_delta_lightgbm_minus_baseline,better_model_by_store_rmsle,sales_volume_segment
38,528.0,197783.47701099998,218976.92526817322,0.4536475845430294,104.01025790565517,0.2776643276987775,40.13910654767655,0.10715479663649828,54917.41617418593,0.019811300632109882,528.0,197783.47701099998,210376.16982891416,0.4331641928527559,85.24784640388202,0.22757645674692217,23.849797003625284,0.06366908403179616,45010.86290124971,0.023168642797257975,Loja,Loja,D,4,-0.020483391690273467,-0.05008787095185535,lightgbm_v1,regular_volume_store
39,528.0,261722.187096,273159.87234044075,0.4806594512627843,125.8809587975409,0.2539530445721138,21.662282659925662,0.04370162641291617,66465.1462451016,0.023977111188960197,528.0,261722.187096,266038.1984533083,0.4142963561351576,102.3279116281179,0.2064369778471563,8.174263934296132,0.01649081189943285,54029.13733964625,0.02781065953817788,Cuenca,Azuay,B,6,-0.06636309512762673,-0.047516066724957506,lightgbm_v1,regular_volume_store
40,528.0,287750.831,261642.26098442078,0.4584827096523651,131.82110324658044,0.24188129108893683,-49.448049271930344,-0.09073325670284242,69601.54251419447,0.02510855716215283,528.0,287750.831,252945.4817892059,0.4076930181605017,102.69146400431818,0.18843070863027325,-65.91922199014037,-0.12095655498139678,54221.09299428,0.027909465730915847,Machala,El Oro,C,3,-0.05078969149186341,-0.053450582458663576,lightgbm_v1,regular_volume_store
41,528.0,200789.76599400002,225120.2193979025,0.46070409829125863,106.65313268392205,0.28045679409175456,46.08040417405774,0.12117377239549905,56312.854057110846,0.020314700852622356,528.0,200789.76599400002,218732.9936705543,0.3843184279702529,77.7822463620027,0.2045374467957926,33.983385751049816,0.08936325807108352,41069.026079137424,0.021139643497756377,Machala,El Oro,D,4,-0.07638567032100574,-0.07591934729596195,lightgbm_v1,regular_volume_store
42,528.0,181667.70799000002,209271.98898631334,0.3915339875977921,81.53825397439077,0.23698321828801933,52.28083522029043,0.15194929964015844,43052.19809847833,0.01553095718663874,528.0,181667.70799000002,212480.3386901774,0.37028162825444116,77.97222052670779,0.2266188795664659,58.35725511397233,0.1696098389807035,41169.33243810171,0.021191274638581996,Cuenca,Azuay,D,2,-0.021252359343350957,-0.010364338721553429,lightgbm_v1,regular_volume_store
43,528.0,264231.62201,251170.30671942234,0.45937187969379195,71.05159333165305,0.141978620854445,-24.73733956548799,-0.04943131026945495,37515.24127911281,0.013533515868796418,528.0,264231.62201,257523.7836686596,0.4396614430764528,59.537520175510025,0.11897066071629984,-12.704239282841638,-0.025386205823186944,31435.810652669294,0.016181095431381083,Esmeraldas,Esmeraldas,E,10,-0.019710436617339178,-0.023007960138145142,lightgbm_v1,regular_volume_store
44,528.0,656651.352984,723267.5953019261,0.7903544468493438,268.9446319422627,0.2162529095846921,126.16712560213284,0.10144842010178469,142002.7656655147,0.05122709109743117,528.0,656651.352984,706031.2357317798,0.40670267104555724,147.94110105213696,0.11895643098969085,93.52250520412859,0.07519954466458402,78112.90135552832,0.04020740311809121,Quito,Pichincha,A,5,-0.3836517758037865,-0.09729647859500125,lightgbm_v1,high_volume_store
45,528.0,631268.519539,657554.4464657903,0.4696448876459817,229.4329647453718,0.19190027957361527,49.78395251286036,0.04163985073417924,121140.60538555631,0.043701126513980997,528.0,631268.519539,649615.6080013905,0.3762546017680892,121.77907723076632,0.10185737255645326,34.748273603011995,0.029063841922275645,64299.352777844615,0.03309709346992762,Quito,Pichincha,A,11,-0.0933902858778925,-0.09004290701716201,lightgbm_v1,high_volume_store
46,528.0,456761.59108299995,484009.5177035332,0.48451542178699586,197.8869222423893,0.22875017729981437,51.60592162979766,0.059654592576243774,104484.29494398154,0.03769241021652893,528.0,456761.59108299995,473446.43615038606,0.3711040610019048,95.45283548992452,0.1103400507454707,31.60008535489782,0.03652856411990701,50399.09713868015,0.025942152708162514,Quito,Pichincha,A,14,-0.11341136078509106,-0.11841012655434367,lightgbm_v1,high_volume_store
47,528.0,581797.17102,606709.2089865208,0.8815382959795962,215.3196889208095,0.19540967439025106,47.1818900881075,0.04281911155196108,113688.79575018742,0.04101290752583166,528.0,581797.17102,599958.0826154123,0.45112590428779403,130.3536427261332,0.11830020286749095,34.395665900402,0.031215194057359886,68826.72335939833,0.03542748718055164,Quito,Pichincha,A,14,-0.4304123916918022,-0.07710947152276011,lightgbm_v1,high_volume_store
48,528.0,403740.960073,402595.8641448021,0.857406669680973,189.54081605270676,0.24787564496238937,-2.168742288253601,-0.0028362144083445423,100077.55087582917,0.036102689912390316,528.0,403740.960073,400043.24560295616,0.4439408625335648,95.0741213745975,0.12433500944940296,-7.00324710235573,-0.009158630992939771,50199.136085787475,0.025839225860970136,Quito,Pichincha,A,14,-0.4134658071474082,-0.12354063551298641,lightgbm_v1,high_volume_store
49,528.0,518238.7970230001,547290.4393053055,0.49292310309002746,154.9155140037144,0.15783340009245012,55.0220497770937,0.056058408689567976,81795.39139396121,0.029507453229173707,528.0,518238.7970230001,563571.3567783925,0.370780158973412,124.49081557844033,0.12683564218465734,85.85712074884938,0.0874742686495169,65731.1506254165,0.03383408918051985,Quito,Pichincha,A,11,-0.12214294411661547,-0.030997757907792772,lightgbm_v1,high_volume_store
50,528.0,326493.240014,346601.5250657797,0.9147333160086372,116.46243341539179,0.18834131095850587,38.08387320412819,0.061588671945910625,61492.164843326864,0.02218312238810396,528.0,326493.240014,346519.29147945007,0.47160603731952266,87.36849043852142,0.14129102014351427,37.928127775473556,0.06133680276072905,46130.56295153931,0.023744991012624252,Ambato,Tungurahua,A,14,-0.4431272786891145,-0.0470502908149916,lightgbm_v1,high_volume_store
51,528.0,364628.89803000004,383297.3654808998,0.4350718795103829,140.90097081670206,0.2040313123648739,35.356945929734486,0.0511985406306546,74395.71259121869,0.026838040289620817,528.0,364628.89803000004,373678.5439961164,0.3633768941036873,67.2988619727983,0.09745195543638438,17.139480996432454,0.024818784290025677,35533.79912163751,0.01829047136654385,Guayaquil,Guayas,A,17,-0.07169498540669561,-0.10657935692848952,lightgbm_v1,high_volume_store
52,528.0,365488.3539303,366340.85361146927,0.35647852755961584,118.0618994155069,0.17055723450842292,1.6145827294872537,0.0023324947895107446,62336.682891387645,0.022487779855715106,528.0,365488.3539303,347573.6287713171,0.3656861851351651,74.46463712182666,0.10757477762977488,-33.92940371019504,-0.04901585773208882,39317.32840032448,0.020237984316099668,Manta,Manabi,A,11,0.009207657575549255,-0.06298245687864804,baseline_rolling_mean_28_origin,high_volume_store
53,528.0,178777.08179999999,188894.00481796265,0.454652859457879,70.72410428043986,0.2088764772536535,19.160839049171678,0.05658959703392284,37342.327060072246,0.01347113755940703,528.0,178777.08179999999,188606.54903693064,0.3943080852950254,39.641332481646074,0.11707665960072254,18.61641522145953,0.054981696411886785,20930.623550309127,0.010773713483895988,Manta,Manabi,D,13,-0.060344774162853554,-0.09179981765293095,lightgbm_v1,regular_volume_store
54,528.0,176572.478994,157123.27314448357,0.4597259869778387,86.15376130252262,0.25762330702327446,-36.835617139235666,-0.11014856879353961,45489.185967731944,0.01641009358230337,528.0,176572.478994,157138.87027739116,0.42481561849881727,70.02748195388867,0.20940132166864817,-36.806077114789424,-0.11006023604204594,36974.510471653215,0.019032055164119578,El Carmen,Manabi,C,3,-0.0349103684790214,-0.048221985354626296,lightgbm_v1,regular_volume_store
