store_nbr,rows,actual_total_sales,predicted_total_sales,rmsle,mae,wape,bias,total_bias_pct
36,528,213441.46892500002,179143.83,0.48196018972943655,94.04305730740408,0.2326386456596082,-64.95767111365237,-0.16068878517726143
39,528,261722.187096,273159.88,0.4806594512627843,125.8809587975409,0.2539530445721138,21.662282659925662,0.043701626412916195
28,528,260467.96499,232912.28,0.4792921025846928,141.45038769040372,0.286737006999692,-52.1887803674498,-0.10579295628570456
21,528,235963.32706699998,217056.83,0.4752081003291764,110.57128623764068,0.24741827409857323,-35.80776207484367,-0.08012473213750332
16,528,104594.092001,103334.96,0.47256445251061713,46.375056234064516,0.23410528475501236,-2.384718455334642,-0.012038264497813629
35,528,91229.164987,82636.48,0.4713810846051876,38.01483029933966,0.220015500535509,-16.274039475364237,-0.09418800275346992
45,528,631268.519539,657554.5,0.4696448876459817,229.4329647453718,0.19190027957361527,49.78395251286036,0.04163985073417924
34,528,181220.10701600002,165810.25,0.4691868640841457,51.58628216781997,0.15030096512526683,-29.18535446652719,-0.08503398111869458
41,528,200789.76599400002,225120.2,0.46070409829125863,106.65313268392205,0.28045679409175456,46.08040417405774,0.12117377239549912
54,528,176572.478994,157123.28,0.4597259869778387,86.15376130252262,0.25762330702327446,-36.835617139235666,-0.11014856879353957
43,528,264231.62201,251170.31,0.45937187969379195,71.05159333165305,0.141978620854445,-24.73733956548799,-0.04943131026945498
40,528,287750.831,261642.25,0.4584827096523651,131.82110324658044,0.24188129108893683,-49.448049271930344,-0.09073325670284241
53,528,178777.08179999999,188894.0,0.454652859457879,70.72410428043986,0.2088764772536535,19.160839049171678,0.056589597033922766
23,528,120386.4850015,128978.82,0.4546355859834054,37.9523206711794,0.16645411080930758,16.273364406764752,0.07137293199203157
38,528,197783.47701099998,218976.94,0.4536475845430294,104.01025790565517,0.2776643276987775,40.13910654767655,0.1071547966364982
33,528,164523.799015,155469.1,0.44798372750819243,66.11374524436738,0.2121763398245097,-17.14906610223857,-0.05503584865042186
29,528,213341.061994,195845.31,0.44421750727810805,91.63112768079645,0.22677882524472107,-33.13587641159792,-0.08200832311323056
31,528,236023.381114,223035.17,0.4427636628745291,98.99983576391865,0.2214692164675904,-24.59890274928133,-0.05502938137026007
27,528,236019.9930215,244558.34,0.44104343838034415,90.48646125338465,0.20242713733761916,16.171138635165068,0.03617643187791029
51,528,364628.89803000004,383297.38,0.4350718795103829,140.90097081670206,0.2040313123648739,35.356945929734486,0.05119854063065471
5,528,156442.8788897,167616.47,0.413024231840178,48.552290631342,0.163865620699955,21.16210616150396,0.07142282303020024
4,528,187479.341041,202040.6,0.40437433396784045,75.63110938397271,0.21300067267680742,27.578144494385217,0.07766861251048979
37,528,196512.910975,225632.02,0.4039469976659606,85.13358256642228,0.22874085662895444,55.14982254765413,0.1481791000941707
2,528,213634.601094,238940.58,0.40168121060949746,78.58399243781106,0.19422110367274942,47.92798059683471,0.11845447144582166
42,528,181667.70799000002,209272.0,0.3915339875977921,81.53825397439077,0.23698321828801933,52.28083522029043,0.15194929964015857
8,528,324826.412986,349405.38,0.3877842175180902,105.00162451232082,0.17067841630506472,46.551087944533904,0.0756680289905281
7,528,286238.018037,311293.88,0.3715059966058295,90.4731856195054,0.1668885298141073,47.45423538162796,0.08753496985945722
3,528,538086.824756,582870.2,0.37024251022698357,157.04532080258264,0.15410139324887648,84.81699732334783,0.08322704167126757
6,528,257699.853928,277964.9,0.36772659639977906,91.04639391630553,0.18654452167924213,38.38077704038307,0.07863819078059785
24,528,268779.943814,282545.4,0.3651512037757208,73.23504125488542,0.14386527965545837,26.070960831310053,0.05121463723668917
52,528,365488.3539303,366340.88,0.35647852755961584,118.0618994155069,0.17055723450842292,1.6145827294872537,0.0023324947895107073
